"Bill of Material for Radios_Comunitarias.PrjPcb"
"On 06/11/2016 at 01:34:07 p.m."

"Comment","Pattern","Quantity","Components"

"0.1uF 25V X7R","C_0603","31","C7, C8, C14, C15, C23, C24, C25, C26, C27, C28, C35, C42, C43, C44, C45, C46, C47, C54, C72, C73, C74, C76, C77, C78, C102, C103, C104, C106, C107, C108, C117","Capacitor de placas paralelas"
"1.2nF 50V COG","C_0805","8","C57, C62, C70, C80, C87, C92, C100, C110","Capacitor de placas paralelas"
"1.5nF 50V X7R","C_0805","4","C59, C79, C89, C109","Capacitor de placas paralelas"
"100pF 50V COG","C_0603","12","C61, C63, C64, C75, C81, C85, C91, C93, C94, C105, C111, C115","Capacitor de placas paralelas"
"100R 5% 1/16W","R_0603","2","R59, R76","Resistencia"
"100uF 16V E 6.3x5.3","CAPAEL_6.3x5.3_SMD","1","C3","Capacitor polarizado"
"10K 5% 1/16W","R_0603","8","R32, R34, R46, R48, R51, R63, R68, R80","Resistencia"
"10nF 25V X7R","C_0603","2","C29, C48","Capacitor de placas paralelas"
"10R 5% 1/16W","R_0603","4","R3, R4, R5, R6","Resistencia"
"10uF 25V T","TAJ_CodeC","33","C1, C2, C6, C9, C12, C13, C20, C21, C22, C31, C32, C33, C36, C39, C40, C41, C50, C51, C52, C55, C67, C68, C69, C82, C83, C84, C97, C98, C99, C112, C113, C114, C116","Capacitor polarizado"
"12K 5% 1/10W","R_0805","1","R1","Resistencia"
"150R 5% 1/10W","R_0805","4","R55, R57, R72, R74","Resistencia"
"180R 5% 1/10W","R_0805","4","R50, R62, R67, R79","Resistencia"
"1K 5% 1/16W","R_0603","4","R12, R13, R19, R20","Resistencia"
"1K2 5% 1/10W","R_0805","8","R25, R30, R39, R44, R54, R65, R71, R82","Resistencia"
"1K8 5% 1/10W","R_0805","12","R21, R22, R26, R28, R29, R31, R35, R36, R40, R42, R43, R45","Resistencia"
"1nF 100V X7R","C_0603","4","C60, C65, C90, C95","Capacitor de placas paralelas"
"22R 5% 1/16W","R_0603","4","R27, R33, R41, R47","Resistencia"
"3.3nF 50V X7R","C_0805","4","C56, C66, C86, C96","Capacitor de placas paralelas"
"330R 5% 1/10W","R_0805","4","R49, R61, R66, R78","Resistencia"
"330uF 16V E 8x10","CAPAEL_8x10_SMD","1","C4","Capacitor polarizado"
"330UHY 0.3R 1.4A RAD. 15.5X15.5MM","","1","L1","Inductor"
"3K3 5% 1/10W","R_0805","4","R10, R11, R17, R18","Resistencia"
"3K9 5% 1/10W","R_0805","1","R2","Resistencia"
"4700uF 35V E 18x35.5","","2","C5, C11","Capacitor polarizado"
"470pF 50V X7R","C_0603","4","C18, C30, C37, C49","Capacitor de placas paralelas"
"470R 5% 1/16W","R_0603","4","R56, R58, R73, R75","Resistencia"
"47K 5% 1/16W","R_0603","2","R9, R16","Resistencia"
"47uF 16V T","TAJ_CodeD","15","C10, C16, C17, C19, C34, C38, C53, C58, C71, C88, C101, C118, C119, C120, C121","Capacitor polarizado"
"4K7 5% 1/16W","R_0603","8","R7, R8, R14, R15, R23, R24, R37, R38","Resistencia"
"560R 5% 1/10W","R_0805","4","R53, R60, R70, R77","Resistencia"
"680R 5% 1/10W","R_0805","4","R52, R64, R69, R81","Resistencia"
"AC3FDZ Amphenol","XLR_Ext","2","CN2, CN3","XLR connector (canon) hembra"
"AK4621","AK4621","1","U14","CODEC 24 bits 192kHz"
"Bornera P2.54mm","Conn_3_1","1","CN1","Conector de 3 pines en hilera"
"CHIP FERRITE BEAD","C_0805","1","L2","Inductor"
"Conector 5x1 P2.54mm","Conn_5_1","1","CN4","Conector de 5 pines en hilera"
"Hembra BNC a chasis","BNC_Ext","2","P3, P4","BNC connector"
"IND EMI SUP FILT HAS","EMIFIL_DSS6_S","2","F1, F2","Filtro EMI 3 terminales"
"JK60-300","JK60-300","2","P1, P2","Poly"
"Jumper 2x1 P2.54mm","Conn_2_1","4","JP1, JP2, JP3, JP4","Jumper 2x1"
"Jumper 3x1","Conn_3_1","1","JP5","Jumper 3x1"
"LM1117DTX-3.3/NOPB","DPAK","2","U10, U13","Regulador Switching"
"LM2575SX-ADJ","D2PAK 5-LEAD","1","U11","Regulador Switching"
"LM7805CDT","TO-220-3","1","U12","Regulador lineal 5V"
"MBR140SFT1G","SOD-123FL","4","D1, D2, D3, D5","Diodo Schottky"
"STM32F4Discovery","STM32F4DISCOVERY","1","U9",""
"TL072","SOIC8","8","U1, U2, U3, U4, U5, U6, U7, U8",""
"TVS 36V 600W","SMB","2","D4, D6","Diodo TVS"
